ASNumber,BinValue+-NoiseValue,[BinValue-NoiseValue;BinValue+NoiseValue],(NoisePercent=BinValue/NoiseValue),(Status(NoisePercent<100%);Status(BinValue-NoiseValue>0))
5607,12682+-5671,[7011;18353],(44.7%),(visible;positive)
5617,12625+-5671,[6954;18296],(44.9%),(visible;positive)
7470,12488+-5671,[6817;18159],(45.4%),(visible;positive)
25255,12041+-5671,[6370;17712],(47.1%),(visible;positive)
39706,12041+-5671,[6370;17712],(47.1%),(visible;positive)
4760,12001+-5671,[6330;17672],(47.3%),(visible;positive)
23352,11904+-5671,[6233;17575],(47.6%),(visible;positive)
8866,11837+-5671,[6166;17508],(47.9%),(visible;positive)
9318,11739+-5671,[6068;17410],(48.3%),(visible;positive)
42610,11732+-5671,[6061;17403],(48.3%),(visible;positive)
8551,11563+-5671,[5892;17234],(49.0%),(visible;positive)
43350,11377+-5671,[5706;17048],(49.8%),(visible;positive)
21497,11248+-5671,[5577;16919],(50.4%),(visible;positive)
9341,11190+-5671,[5519;16861],(50.7%),(visible;positive)
6939,10609+-5671,[4938;16280],(53.5%),(visible;positive)
1759,10557+-5671,[4886;16228],(53.7%),(visible;positive)
7552,10547+-5671,[4876;16218],(53.8%),(visible;positive)
6327,10462+-5671,[4791;16133],(54.2%),(visible;positive)
4788,10286+-5671,[4615;15957],(55.1%),(visible;positive)
327966,10027+-5671,[4356;15698],(56.6%),(visible;positive)
32934,9855+-5671,[4184;15526],(57.5%),(visible;positive)
4621,9853+-5671,[4182;15524],(57.6%),(visible;positive)
9198,9738+-5671,[4067;15409],(58.2%),(visible;positive)
9269,9645+-5671,[3974;15316],(58.8%),(visible;positive)
14117,9470+-5671,[3799;15141],(59.9%),(visible;positive)
6147,9410+-5671,[3739;15081],(60.3%),(visible;positive)
49981,9234+-5671,[3563;14905],(61.4%),(visible;positive)
17577,9194+-5671,[3523;14865],(61.7%),(visible;positive)
38693,9174+-5671,[3503;14845],(61.8%),(visible;positive)
31252,9029+-5671,[3358;14700],(62.8%),(visible;positive)
27843,9007+-5671,[3336;14678],(63.0%),(visible;positive)
4800,8982+-5671,[3311;14653],(63.1%),(visible;positive)
29497,8963+-5671,[3292;14634],(63.3%),(visible;positive)
29580,8945+-5671,[3274;14616],(63.4%),(visible;positive)
133481,8903+-5671,[3232;14574],(63.7%),(visible;positive)
4766,8624+-5671,[2953;14295],(65.8%),(visible;positive)
1221,8620+-5671,[2949;14291],(65.8%),(visible;positive)
44244,8606+-5671,[2935;14277],(65.9%),(visible;positive)
25019,8576+-5671,[2905;14247],(66.1%),(visible;positive)
25133,8547+-5671,[2876;14218],(66.4%),(visible;positive)
3356,8522+-5671,[2851;14193],(66.5%),(visible;positive)
23947,8500+-5671,[2829;14171],(66.7%),(visible;positive)
39264,8435+-5671,[2764;14106],(67.2%),(visible;positive)
8997,8408+-5671,[2737;14079],(67.4%),(visible;positive)
60781,8407+-5671,[2736;14078],(67.5%),(visible;positive)
43554,8325+-5671,[2654;13996],(68.1%),(visible;positive)
54520,8247+-5671,[2576;13918],(68.8%),(visible;positive)
26557,8127+-5671,[2456;13798],(69.8%),(visible;positive)
264493,8090+-5671,[2419;13761],(70.1%),(visible;positive)
43120,7990+-5671,[2319;13661],(71.0%),(visible;positive)
264967,7959+-5671,[2288;13630],(71.3%),(visible;positive)
63859,7903+-5671,[2232;13574],(71.8%),(visible;positive)
3786,7805+-5671,[2134;13476],(72.7%),(visible;positive)
7713,7781+-5671,[2110;13452],(72.9%),(visible;positive)
3216,7780+-5671,[2109;13451],(72.9%),(visible;positive)
8412,7722+-5671,[2051;13393],(73.4%),(visible;positive)
5650,7712+-5671,[2041;13383],(73.5%),(visible;positive)
12576,7698+-5671,[2027;13369],(73.7%),(visible;positive)
135794,7644+-5671,[1973;13315],(74.2%),(visible;positive)
46592,7640+-5671,[1969;13311],(74.2%),(visible;positive)
19429,7592+-5671,[1921;13263],(74.7%),(visible;positive)
